sentiment,negative_reason,text
negative,Women Reproductive right and Racism,"b""@RosieBarton So instead of your suggestion, how about we agree that #Canadian #women can not and should not trust that #AndrewScheer and a #Conservatives government will protect a woman's right to have automony over her body. Let's go with that.  #cdnpoli #elxn43  #Canada #abortion"""
positive,,"b""#AllWomanSpacewalk it's real!\n@Space_Station \n#EtobicokeNorth #CityofTO #ONPoli #cdnpoli #elxn43 https://t.co/wgdXLksTbQ"""
negative,Economy,"b""#Brantford It's going to cost YOU $94 BILLION FOR THE NEXT 4 YEARS! ASK JUSTIN! #elxn43 #cdnpoli #Canada https://t.co/9DTLLd9972"""
positive,,"b""#Canada #CanadaElection2019 #CanadaVotes \n#elxn43 \n\nCan't decide? This should help!\n\nhttps://t.co/UNe5J1tDJ6"""
negative,Economy,"b""#Canada #taxpayers are sick &amp; tired of having their hard earned $ donated to corporate welfare bums that don't need it! This is only one of many reasons #TrudeauMustGo. @SNCLavalin can leave #Canada for all I care. @Sheila_Copps #SNCLavalinScandal #Election2019 #elxn43 #cdnpoli https://t.co/ywD7MAByKk"""
negative,Others,"b""#CanadaVotes2019 #elxn43 #cdnpoli - FACTS - #BlastFromThePast - In 2012 #Conservatives introduced the end of the long-gun registry even though all heads of police across Canada and victims' groups objected for crime control and public safety! #GunLobby  https://t.co/WgZKMSQ4wa"""
positive,,"b""#CDNmedia #elxn43 #cdnpoli #PPC Rocky Dong hands down has the best election video ever. Please google Rocky Dong boxes socialism if you haven't seen it. Go Rocky! https://t.co/1ruti2ruRZ"""
positive,,"b""#cdnpoli #elxn43 The Liberals ++ more than double what was promised in 2015, to the national debt. Now for the next term - if re-elected, they're forecasting $90 billion. This is w/out a national pharmacare program incl and w/out an NDP coalition. $180 billion seems possible imo."""
negative,Others,"b""#chooseforward #cdnpoli #elxn43\nCanada, Don't Make America's Mistakes | Full Frontal on TBS https://t.co/PhU4jHxnMF via @YouTube"""
negative,Scandal,"b""#CPCKinsellaGate\nLet's see the receipts. Who pays Warren Kinsella to make up sleaze?\n#cdnpoli\n#elxn43 \n#VoteLiberal \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\n#ChooseForward https://t.co/34ltshteve"""
positive,,"b""#Elxn43 is two days away. If you're voting on E-Day, read this primer to learn who can vote, where you can vote,  when you can vote, and how you can vote.\n\nhttps://t.co/K04Px95RIB"""
positive,,"b""#ELXN43 PREDICTION: If Justin Trudeau's #LPC loses on Monday night, it'll be due to their bleeding of support in QC and BC. If Trudeau's LPC wins on Monday night, it'll be thanks to their solid support in ON. #cdnpoli"""
positive,,"b""#ICYMI - #Analysis - How will Ford Nation respond to Renata Ford's People's Party of Canada bid for #EtobicokeNorth MP at the ballot box? Residents and experts weigh in.\nhttps://t.co/1VjOj6H4xN\n#elxn43 #Vote2019 \n#Cdnpoli #Etobicoke #EtobTO https://t.co/DjMoybDhkn"""
positive,,"b""#ICYMI - #Analysis - How will Ford Nation respond to Renata Ford's People's Party of Canada bid for #EtobicokeNorth MP at the ballot box? Residents and experts weigh in.\nhttps://t.co/edP8eN3qnM\n#elxn43 #Vote2019 \n#Cdnpoli #Etobicoke #EtobTO https://t.co/EBFZM0CFLq"""
negative,Others,"b""#Kinsella runs deep w #CPC...both he and #LyingAndy have a crazed anti-Trudeau fixation bordering on Freudian.\n\nKinsella's hands all over the overhyped #SNCLavalin situation. @Puglaas and @ElizabethMay should be questioned on their connection to Kinsella.\n\n#cdnpoli\n#elxn43 https://t.co/mokXrYKq5P"""
negative,Tell lies,"b""#LyingAndy has a history of not answering embarrassing questions. Here is one where he won't answer if he has #Trump operatives working on his campaign: Spoiler Alert, yes he does #YankeeDoodleAndy #ScheerAmerican  #elxn43 #cdnpoli @andrewscheer @CPC_HQ \nhttps://t.co/WwZkxh6gtM"""
positive,,"b""#ThreadAlert \nHere's a study sheet for an unfit candidate\n#CDNpoli #Elxn2019 #elxn43 https://t.co/KVyhOmRc0V"""
positive,,"b""#UpRiSingh I'm definitely looking forward to an Asian paramilitary religious cult which evolved in the Middle Ages to resist the Moghul invasion of India taking over my country #elxn43"""
positive,,"b""#UpToYouth #CDNPoli #elxn43 Today's Youth are smart. Smarter than the average Adult. They can and will change the world. They will change the world."""
negative,Scandal,"b""*Urgent* Please watch this video by David Haskell, People's Party candidate for Cambridge, as he breaks down the recent news concerning the Conservative Party hiring a firm to spread disinformation about us!#PPC2019 #ygk #elxn43 #cdnpoli #corruption \nhttps://t.co/FWB7kKwQCO"""
negative,Others,"b'""... it\'s our policy not to comment on illegal, immoral, or nefarious activities of the #CPC &amp; Justin Trudeau IS A POOPY PANTS!!!""\n\n#elxn43 #cdnpoli #KinsellaGate https://t.co/dzSDfsxuKG'"
negative,Others,"b"".@AndrewScheer isn't fit to hold public office, let alone be PM.\n\nCanadians deserve better.\n\n#VotePPC \n\n#KinsellaGate #elxn43 \n\n#PowerHungryLibCons https://t.co/CWjf8M4RiX"""
positive,,"b"".@YorkUHealth Prof. Mary Wiktorowicz weighs in on health care policy and the federal election on TVO's @TheAgenda with @spaikin https://t.co/nkq4Dskcd9 #elxn43"""
positive,,"b""@222Minutes She's part of the leftist #justinjournos virtue signaling her objectivity 2 days b4 the election.  She wouldn't want the public to become aware of MSM's real thoughts early in the campaign. #CDNmedia #elxn43 @RebelNewsOnline @TrueNorthCentre @brianlilley"""
negative,Others,"b""@alan_poirier, This is not an #Alberta, #Saskatchewan, #Ontario or any other province issue. This is all about #CANADA!. Many in #Ontario can't wait to send @liberal_party @JustinTrudeau packing on Monday. #TrudeauMustGo #Election2019 #elxn43 #cdnpoli https://t.co/aZzh9axOZx"""
positive,,"b""@alanthomasdoyle Hi Alan, I'm wondering if you could put a quick social media message on the importance of getting out and voting on Monday. It's it best interest of this country you love and represent so well #Election2019 #elxn43\n#VOTE #VOTE #VOTE"""
negative,Scandal,"b""@AlternateSpunky @ElectionsCan_E @ElectionsON Can citizens file complaints? How about some arrests? I can't believe the amount of corruption that goes completely ignored in #Canada. We seem to be too busy patting ourselves on the back for not being #Americans, I guess. \n#cdnpoli #elxn43"""
negative,Others,"b""@althiaraj @JustinTrudeau .@JustinTrudeau using the 5 D's of DodgeBall:\nDodge, dip, duck, dive, and dodge.\nIt's not working. \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6s see him as a sanctimonious fraud!\n\nTwo more days, Two more days,\nTwo more days, Two more days,\nTwo more days, Two more days,\nTwo more days, Two more days,\n\n#elxn43\n#CdnPoli"""
positive,,"b""@althiaraj @JustinTrudeau Well, yeah, that's his jam. \n\nAsk him other questions, like what he believes caused the affordability issue he now refers to, or where he thinks business investment is heading. \n\n#elxn43"""
negative,Tell lies,"b""@althiaraj How about don't ask him questions about hypotheticals. How about that? \n#cdnpoli #elxn43"""
negative,Scandal,"b""@althiaraj Why are you surprised?\n.@JustinTrudeau hasn't answered a Q in YEARS! He ALWAYS responds with rehersed talking points, bafflegab, and word salad in an effort to deflect/distract from a laundry list of personal scandals and #LPC missteps.\n\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 Voters WAKE UP!\n\n#elxn43\n#CdnPoli"""
positive,,"b""@amandaalvaro @vankayak Pardon my English, but Adam is just f*cking awesome. I have my fingers and toes crossed that Milton recognizes the jackpot they've hit with this CDN hero. #elxn43"""
positive,,"b""@AndrewScheer @CPC_HQ the election isn't even over yet and you might be under investigation for doing something unethical. Canadians have a heads up. Come on Canada.... Let's show #LyingAndy the door on Monday #cdnpoli #elxn43 #cdnelxn2019 https://t.co/Z2Ra1zeMQN"""
negative,Scandal,"b""@AndrewScheer How about Warren and JWR?!? Yell us a new story on how you weren't involved in the Liberal smear campaign! #cdnpoli #elxn43"""
negative,Privilege,"b""@AndrewScheer Life has *also* gotten more expensive under your Republican heroes. And like *them,* if elected you'll cater to the well-off at *everyone else's expense.* \n\n#elxn43 #StopScheer #KinsellaGate"""
negative,Others,"b""@AnthonyRomo17 @phil_rack @peterdiane01 @AndrewScheer @CPC_HQ @JustinTrudeau It's pretty simple. How much evidence do you need to see before you realize there's little difference between the blue and red mafias? SMFH...\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #libconsmears #elxn43 https://t.co/vi76fGA4BD"""
negative,Others,"b""@ArtonFurniture Fender benders don't make it to the BC Supreme court. Means it was appealed after a guilty verdict. More than once #elxn43 #TrudeauMustGo #LiberalsMustGo #LavScam #TrudeauBlackface #NotAsAdvertised #Scheer4PM #ScheerMajority"""
negative,Scandal,"b""@asestritsyn @Yvan_Baker @JustinTrudeau @liberal_party @CanadianGreens @ElizabethMay Speaking of #deception did the @CPC_HQ get their money's worth in paying Warren Kinsella to take down a rival party? \n\n#cdnpoli #cdnelxn2019 #elxn43  @ElectionsCan_E \n\nhttps://t.co/eJSNPZunvs"""
positive,,"b""@BairdErinekilby @ABBlueSkies @JustinTrudeau @liberal_party Thank you Erin. I'm scrambling to show Canadians that the path to staying a United Canada is severely threatened by all three Climate Emergency supportive parties.\n\nOnly the CPC has enough foresight to defend Canada by defending Alberta. #elxn43"""
negative,Scandal,"b""@baldjam @CPC_HQ Or that they are being investigated for #Elxn43 donations from Petroleum Lobbyists? #CAPP as in #AndyCAPP ? That's a HandiCAPP for the #CPC_HQ https://t.co/wicFTJxGuR"""
negative,Economy,"b""@barkoh @CrippledU @kennuck Start with a basic legal premise - precedent. Courts don't work the way you propose. And again, let me restate that #TeamTrudeau has demanded #ISDS in trade because it favours CDN extractive operators worldwide. \n\nAlso, it's a BS excuse for 50 more years of tar sands.\n\n#elxn43"""
negative,Tell lies,"b""@BCReality @ontarioisproud Seriously? Being from the west coast, you're either high or clearly haven't been paying attention to the rest of \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6. The #BigBlueWave IS coming on Oct. 21st so lay off the mushrooms.\n#cdnpoli #elxn43 #TrudeauMustGo #ButtsMustGo #LiberalLiesAndDeception #Scheer2019 #Scheer4PM https://t.co/6hsTfIUHvJ"""
negative,Others,"b""@Ben_T_Johnson I can't even...\n\n#cdnpoli #yyj #qcpoli #onpoli #ableg #nspoli #ubc #peipoli #vanpoli #UCalgary #bced #myTRU #elxn43 #UofT #nbed #unbc #skpoli #abed #nlpoli #UAlberta #mbpoli #topoli #NAIT #bcpoli #yow #onted #nbpoli #sasked #mbedu #nflded #edupei #nsed #uvic #sfu #eduqc #yeg #yyc https://t.co/Qy29g9DXUN"""
positive,,"b""@BestStephen @EdtheSock Please feel free to inform us on the more successful governments than this one.\n\nSurely you can back this statement up, which would fly in the face of, y'know, professionals that have said as much based on their data studies.\n\nWe await your response.\n#cdnpoli #elxn43 #ItsOurVote"""
positive,,"b""@brianlilley GOOD. There's a #ClimateEmergency.  \n\n#elxn43 #StopScheer"""
positive,,"b""@Brucesask @phil_proulx @JustinTrudeau Yeah, that's true. I hope the @liberal_party pulls through on Monday.\n\n#ChooseForward #cdnpoli #elxn43"""
negative,Tell lies,"b""@C_Resists @gill_godwin Name me one election since Harper and MacKay shook hands on the death of the PC party that the #CPC hasn't lied and cheated. #cdnpoli #elxn43"""
negative,Others,"b""@camrclark @natnewswatch So one leader gives the same answer to any question he's given...but the other leader barely tries answering a question at all. #elxn43 #cdnpoli"""
